Type,Function,Digit,Time(ns)
u32toa_sequential,amartin,1,3.960000
u32toa_sequential,amartin,2,3.960000
u32toa_sequential,amartin,3,3.960000
u32toa_sequential,amartin,4,4.050000
u32toa_sequential,amartin,5,4.300000
u32toa_sequential,amartin,6,4.280000
u32toa_sequential,amartin,7,4.860000
u32toa_sequential,amartin,8,4.860000
u32toa_sequential,amartin,9,5.020000
u32toa_sequential,amartin,10,5.030000
u32toa_random,amartin,0,7.650000
u32toa_sequential,branchlut,1,2.790000
u32toa_sequential,branchlut,2,3.110000
u32toa_sequential,branchlut,3,3.480000
u32toa_sequential,branchlut,4,3.810000
u32toa_sequential,branchlut,5,6.070000
u32toa_sequential,branchlut,6,6.330000
u32toa_sequential,branchlut,7,6.750000
u32toa_sequential,branchlut,8,6.860000
u32toa_sequential,branchlut,9,7.390000
u32toa_sequential,branchlut,10,7.600000
u32toa_random,branchlut,0,11.427000
u32toa_sequential,branchlut2,1,1.890000
u32toa_sequential,branchlut2,2,2.430000
u32toa_sequential,branchlut2,3,3.000000
u32toa_sequential,branchlut2,4,3.340000
u32toa_sequential,branchlut2,5,3.860000
u32toa_sequential,branchlut2,6,4.210000
u32toa_sequential,branchlut2,7,5.520000
u32toa_sequential,branchlut2,8,5.770000
u32toa_sequential,branchlut2,9,6.720000
u32toa_sequential,branchlut2,10,6.920000
u32toa_random,branchlut2,0,10.478000
u32toa_sequential,count,1,3.390000
u32toa_sequential,count,2,4.320000
u32toa_sequential,count,3,5.290000
u32toa_sequential,count,4,6.440000
u32toa_sequential,count,5,7.570000
u32toa_sequential,count,6,8.620000
u32toa_sequential,count,7,9.750000
u32toa_sequential,count,8,10.920000
u32toa_sequential,count,9,12.020000
u32toa_sequential,count,10,13.110000
u32toa_random,count,0,14.949000
u32toa_sequential,countlut,1,2.870000
u32toa_sequential,countlut,2,3.120000
u32toa_sequential,countlut,3,3.740000
u32toa_sequential,countlut,4,4.250000
u32toa_sequential,countlut,5,4.840000
u32toa_sequential,countlut,6,5.250000
u32toa_sequential,countlut,7,6.050000
u32toa_sequential,countlut,8,6.470000
u32toa_sequential,countlut,9,7.320000
u32toa_sequential,countlut,10,7.830000
u32toa_random,countlut,0,11.653000
u32toa_sequential,hintro,1,2.170000
u32toa_sequential,hintro,2,3.190000
u32toa_sequential,hintro,3,3.190000
u32toa_sequential,hintro,4,3.190000
u32toa_sequential,hintro,5,3.200000
u32toa_sequential,hintro,6,3.200000
u32toa_sequential,hintro,7,4.380000
u32toa_sequential,hintro,8,4.380000
u32toa_sequential,hintro,9,4.390000
u32toa_sequential,hintro,10,4.380000
u32toa_random,hintro,0,5.739000
u32toa_sequential,jeaiii,1,1.890000
u32toa_sequential,jeaiii,2,1.920000
u32toa_sequential,jeaiii,3,2.270000
u32toa_sequential,jeaiii,4,2.430000
u32toa_sequential,jeaiii,5,2.620000
u32toa_sequential,jeaiii,6,2.700000
u32toa_sequential,jeaiii,7,3.310000
u32toa_sequential,jeaiii,8,3.260000
u32toa_sequential,jeaiii,9,3.830000
u32toa_sequential,jeaiii,10,4.050000
u32toa_random,jeaiii,0,9.785000
u32toa_sequential,lut,1,4.150000
u32toa_sequential,lut,2,7.290000
u32toa_sequential,lut,3,7.700000
u32toa_sequential,lut,4,8.360000
u32toa_sequential,lut,5,10.130000
u32toa_sequential,lut,6,11.210000
u32toa_sequential,lut,7,12.880000
u32toa_sequential,lut,8,11.190000
u32toa_sequential,lut,9,12.450000
u32toa_sequential,lut,10,13.750000
u32toa_random,lut,0,14.360000
u32toa_sequential,mwilson,1,3.910000
u32toa_sequential,mwilson,2,5.270000
u32toa_sequential,mwilson,3,6.480000
u32toa_sequential,mwilson,4,5.910000
u32toa_sequential,mwilson,5,6.970000
u32toa_sequential,mwilson,6,8.530000
u32toa_sequential,mwilson,7,9.430000
u32toa_sequential,mwilson,8,11.070000
u32toa_sequential,mwilson,9,12.180000
u32toa_sequential,mwilson,10,13.820000
u32toa_random,mwilson,0,13.991000
u32toa_sequential,naive,1,3.220000
u32toa_sequential,naive,2,4.670000
u32toa_sequential,naive,3,6.030000
u32toa_sequential,naive,4,7.380000
u32toa_sequential,naive,5,8.880000
u32toa_sequential,naive,6,10.660000
u32toa_sequential,naive,7,12.010000
u32toa_sequential,naive,8,11.560000
u32toa_sequential,naive,9,13.090000
u32toa_sequential,naive,10,14.660000
u32toa_random,naive,0,15.913000
u32toa_sequential,null,1,1.940000
u32toa_sequen
